ÅÅÃû,ËÑË÷´Ê,ËÑË÷ÈËÆø,Ïà¹ØËÑË÷´ÊÊý,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170613,ÈÕÆÚ£º20170614,ÈÕÆÚ£º20170615,ÈÕÆÚ£º20170616,ÈÕÆÚ£º20170617,ÈÕÆÚ£º20170618,ÈÕÆÚ£º20170619
1,¶Ì¿ã,283890,18874,1.5151,211442,0.0686,3.74,1,1,1,1,1,1,1
2,Å£×Ð¿ã,187806,17466,1.4769,138494,0.0532,6.08,2,2,2,2,2,2,2
3,¿ã,100796,7121,1.4658,73776,0.0454,2.68,3,3,3,3,3,3,3
4,¿ã×Ó,68398,3850,1.2025,47521,0.0423,2.4,4,5,4,4,5,5,4
5,±³´ø¿ã,61414,2858,1.3456,44776,0.0332,2.56,5,4,5,5,4,4,5
6,±³´ø,58675,1519,1.4486,44068,0.0415,2.56,6,6,6,6,6,6,6
7,³¬¶Ì¿ã,47934,1100,1.4236,35894,0.0822,1.4,7,7,7,7,7,7,7
8,ÈÈ¿ã,42952,1428,1.6163,32201,0.0768,2.91,8,8,8,8,8,8,8
9,Æß·Ö¿ã,37995,1578,1.176,27275,0.0653,4.1,9,9,9,9,10,11,9
10,À®°È¿ã,35872,802,1.5487,26702,0.0424,3.14,11,11,11,11,11,9,10
11,³¤¿ã,35458,1579,1.3812,25750,0.057,1.87,10,10,10,10,9,10,11
12,Å®×°,24981,1085,1.1174,16649,0.0449,2.12,12,12,12,12,12,12,12
13,Îå·Ö¿ã,22523,716,1.2843,15948,0.0568,1.58,13,13,13,13,13,13,13
14,Âí¿ã,19100,344,0.9089,12623,0.0521,1.52,16,19,16,16,17,17,14
15,Å®¿ã,16399,700,1.1308,11324,0.0404,2.66,14,15,15,14,14,14,15
16,´ÌÐå,16113,497,1.392,12020,0.0493,1.27,15,14,14,15,15,15,16
17,Å£,15951,502,1.2266,10822,0.0546,2.32,17,16,17,17,16,16,17
18,ÓæÍø,13087,193,1.1829,9262,0.0536,1.08,18,18,20,18,18,20,18
19,Ì××°,12831,390,0.8174,7585,0.0157,1.05,21,20,21,21,20,19,19
20,Á¬Ìå¿ã,11539,226,1.5019,8605,0.0315,0.89,20,17,19,19,19,21,20
21,ÏÄ×°,11147,442,1.0693,7745,0.0679,1.8,19,21,18,20,21,18,21
22,µõ´ø,8814,165,1.2697,6220,0.0377,1.2,24,24,24,23,23,22,22
23,½ôÉí¿ã,8249,88,1.1513,5649,0.0683,1.01,27,23,23,25,27,24,23
24,À®°È,8215,162,1.812,6430,0.0422,1.11,23,22,22,22,24,23,24
25,È¹¿ã,7062,113,1.2278,4822,0.0473,0.91,28,29,28,29,29,29,25
26,¿ãñÃ,6585,131,0.6468,3952,0.0176,0.87,29,28,27,24,25,30,26
27,¿íËÉ¿ã,6553,38,1.2195,4136,0.0491,1.18,22,35,34,31,22,33,27
28,×Ð¿ã,6426,130,1.3043,4082,0.0534,0.83,25,26,26,26,28,26,28
29,ÐÝÏÐ¿ã,6289,97,1.149,3996,0.0539,2.47,31,30,32,28,31,31,29
30,°ó´ø,5848,129,1.6507,4414,0.0396,1.08,26,27,29,30,32,25,30
31,¿ãÈ¹,5733,107,1.1784,3829,0.0443,1.02,32,31,25,27,33,27,31
32,¿ã½Å,4763,78,1.2216,3071,0.026,0.93,33,33,30,32,34,35,32
33,È¹,4493,38,0.9756,2973,0.1051,0.87,47,49,70,52,54,51,33
34,·þÊÎ,4440,64,1.8809,3295,0.0887,1.91,40,37,42,41,26,32,34
35,ÁÁÆ¬,4346,69,1.5086,3406,0.0372,0.71,36,34,36,34,36,36,35
36,Ç¦±Ê,4334,117,1.2022,2987,0.0576,0.92,35,32,31,33,35,34,36
37,Ãµ¹å,4058,48,1.369,2956,0.1768,0.67,38,36,37,42,42,40,37
38,Íø,3838,70,1.1082,2548,0.0333,0.59,34,38,33,37,39,37,38
39,¹ÙÍø,3753,29,1.1749,1901,0.013,0.34,54,51,35,60,52,50,39
40,ÓãÍø,3569,45,1.0749,2452,0.0339,0.64,45,39,38,40,37,39,40
41,»¨°ú,3559,43,1.7492,2557,0.0594,0.99,43,41,43,35,41,28,41
42,Ñü´ø,3414,53,1.098,2199,0.0243,2.73,44,47,47,49,49,43,42
43,ËÉ½ô´ø,3344,56,1.1727,2450,0.0649,1.15,41,40,40,45,43,38,43
44,ÒÂ,3261,37,1.9619,2359,0.0375,0.51,50,42,39,38,46,41,44
45,Æ®´ø,3223,36,1.1604,2291,0.0441,0.79,49,52,48,44,44,45,45
46,À­Á´,2892,58,1.446,2151,0.0378,0.89,52,50,45,43,47,42,46
47,Ã­¶¤,2795,35,1.6976,2189,0.0438,0.86,46,44,46,50,50,46,47
48,¶¹,2635,8,1.8273,1781,0.0335,0.54,64,184,61,67,174,183,48
49,ÍøÍà,2592,27,1.247,1759,0.0341,0.48,55,45,44,48,61,64,49
50,¶ÌÈ¹,2525,13,1.2183,1739,0.0546,0.87,116,100,57,86,112,71,50
51,Ãµ¹å»¨,2490,28,1.2297,1744,0.0296,0.67,48,43,49,51,53,47,51
52,¹¤×°¿ã,2318,11,1.3116,1506,0.0338,1.91,104,95,101,103,140,91,52
53,Á¬ÒÂÈ¹,2187,27,1.6563,1660,0.0266,0.86,39,76,62,56,38,53,53
54,ÃÛÌÇ,2079,6,1.2232,1322,0.1194,1.91,67,65,218,188,56,48,54
55,Å£×ÐÈ¹,2064,34,1.0496,1394,0.0276,1.32,51,46,52,53,51,44,55
56,ÐÂÆ·,2061,38,1.0433,1417,0.0741,0.3,57,66,64,66,75,57,56
57,¿ãÍÈ,2059,31,0.8996,1216,0,0.51,56,58,58,64,66,49,57
58,°ëÉíÈ¹,2003,21,1.4699,1404,0.041,0.67,111,91,54,73,79,72,58
59,¹ÈÁ£,1993,1,2.0416,1045,0,0.66,145,,,,298,,59
60,µÆÁý,1982,19,1.302,1375,0.0387,1.39,74,73,83,76,84,80,60
61,ÅÌ,1971,14,0.8458,1134,0.0187,0,61,54,60,68,63,58,61
62,²¼,1969,28,0.9314,1156,0.0227,0.98,68,75,71,80,68,73,62
63,µÆÁý¿ã,1961,21,1.0041,1281,0.0391,1.39,53,59,51,58,73,54,63
64,¿Ú´ü,1947,38,1.236,1305,0.0418,1.14,66,48,55,61,72,52,64
65,Èâ,1898,32,0.8277,1184,0.0351,0,58,61,53,55,58,68,65
66,ÉÏÒÂ,1874,17,1.3216,1134,0.0374,0.83,30,88,86,57,40,66,66
67,²æ,1718,24,0.6326,912,0.0192,1.06,75,69,59,59,62,60,67
68,ËâÄà,1630,4,3.556,1585,0.0057,0,,268,,,109,99,68
69,¿ãÍ·,1627,28,0.5795,870,0.0479,0,81,79,41,62,74,67,69
70,²Ê´ø,1606,19,0.8925,1068,0.0408,0.42,63,62,65,65,70,62,70
71,ÒÂ·þ,1576,26,0.6494,862,0.0139,1.17,37,78,77,47,60,69,71
72,¶Ì×°,1512,4,1.0015,895,0.0395,0.48,159,168,157,155,76,192,72
73,Ì×,1462,22,0.9322,976,0.0291,0.35,99,81,69,54,55,65,73
74,Å£×ÐÒÂ,1449,7,1.3651,1071,0.0102,0.51,115,72,66,108,80,77,74
75,tÐô,1404,21,1.5312,1071,0.0254,0.83,78,53,50,69,59,55,75
76,È¹×Ó,1329,14,1.5818,870,0.0411,0.27,130,57,119,72,57,109,76
77,Ã¨,1278,9,1.614,866,0.0069,0,60,71,72,84,92,92,77
78,ÕäÖé,1275,12,1.6281,1003,0.0447,0.6,72,89,75,75,77,76,78
79,µÍÑü¿ã,1188,5,0.6404,414,0.0769,0.9,160,108,201,138,102,138,79
80,Ã×,1152,11,1.6643,776,0.0484,0,94,102,93,77,95,97,80
81,Ìú,1152,8,0.5369,657,0.051,0.6,91,82,90,83,96,84,81
82,Ñ§Éú×°,1134,8,1.1525,948,0.0061,0.24,97,60,134,74,65,140,82
83,Ð¡Ïó,1086,15,1.1116,740,0.0517,0.28,76,70,56,98,108,59,83
84,ÂÖ,1060,8,1.1475,681,0.0583,0,80,86,82,85,82,81,84
85,Æ¤´ø,1056,17,0.645,573,0.037,2.15,86,94,84,79,88,86,85
86,¹¤×°,1056,14,1.3434,681,0.0485,1,70,63,74,39,78,70,86
87,ÂÜ²·,1030,9,1.0939,676,0.0392,0.65,82,87,85,82,91,82,87
88,Ë¿,1011,11,1.8891,767,0.1639,2.23,148,144,80,115,136,78,88
89,°Ø,972,11,1.7546,722,0.0893,0,87,92,87,96,90,85,89
90,¿Û,944,15,1.3088,745,0.0598,1.02,84,77,81,70,94,79,90
91,´Å,940,9,0.5273,593,0.0706,1,88,83,91,90,93,74,91
92,½´,936,1,3.6018,845,0.0357,0,185,182,153,122,85,303,92
93,³¬¶ÌÈ¹,916,8,1.7271,488,0.0308,0.34,118,80,76,139,71,132,93
94,Ï»×Ó,883,6,2.0486,731,0,0,77,84,79,88,99,102,94
95,¾í,883,9,1.0128,510,0,0.19,90,106,95,91,81,87,95
96,Í²¿ã,862,10,1.4954,460,0,0.89,93,128,94,133,83,101,96
97,Ë¿´ø,815,12,0.9372,547,0.0132,0.18,106,112,104,113,118,94,97
98,ÃÛ,789,11,1.2632,536,0.0946,1.19,113,25,122,104,100,83,98
99,Ë¢Æá,776,1,1.3027,414,0,4.72,,,,,,,99
100,ÇéÂÂ×°,758,2,2.975,754,0,0,,278,97,182,131,131,100
101,Å£×Ð²¼,754,13,1.0624,454,0.0339,0.57,140,67,120,130,128,106,101
102,ÑÌ»Ò,754,11,1.8768,562,0.0253,0.43,101,118,114,106,106,93,102
103,Å¦¿Û,722,11,1.195,482,0.125,0.89,108,98,111,101,86,95,103
104,ÉÙÅ®×°,718,5,0.4612,243,0,0.12,100,153,210,89,101,139,104
105,ÒÂ¹ñ,718,6,2.3598,333,0.0513,0,238,223,138,132,30,175,105
106,²¾,704,6,0.4946,326,0,0,127,119,130,123,116,123,106
107,Âí,695,6,1.3408,402,0.04,0,102,135,102,119,167,127,107
108,Ë®×ê,685,9,0.8586,488,0,0,131,111,137,120,115,126,108
109,É´,676,9,0.7273,414,0,0,73,109,68,140,69,142,109
110,Ä¥Ã«,657,6,1.1274,414,0,0.9,132,134,144,112,123,114,110
111,±³ÐÄ,657,7,1.9252,477,0.0159,0.34,69,141,103,71,150,75,111
112,Ñ©Àæ,623,7,1.2156,396,0,0,103,123,135,159,120,98,112
113,Ð¡Â¹,618,6,2.5232,526,0.0556,0,42,90,98,46,113,104,113
114,½ðÊô,618,7,0.7015,377,0.0435,0,119,110,112,109,121,116,114
115,Ïð½î,613,6,1.3547,365,0.0909,1.08,105,140,110,102,129,113,115
116,Öé,613,2,0.8724,460,0,0.1,173,96,96,99,104,118,116
117,Óã,608,5,0.5556,383,0,0,114,122,139,129,130,115,117
118,Ìú»·,603,8,1.0071,377,0.0435,0.53,96,104,181,105,64,90,118
119,¿É¿É,603,7,1.3531,408,0.0196,0,112,145,141,151,164,161,119
120,ÒÂ³÷,593,7,1.0947,313,0,0,89,157,121,134,114,134,120
121,Ð¡³û¾Õ,583,4,1.0032,402,0.02,0,144,130,123,156,135,128,121
122,±¬Ã×»¨,573,2,6.901,510,0,0,220,132,,93,126,89,122
123,·ä³²,568,5,1.0061,377,0.0435,0,133,149,143,172,144,148,123
124,Ä¾,557,9,0.8926,352,0.0238,0,107,126,113,187,138,152,124
125,óÏ,547,1,0.5959,243,0,0,,,,308,,292,125
126,´ø×Ó,536,6,0.8308,279,0,0,142,116,133,118,119,108,126
127,ÌÇ,536,4,2.5801,371,0.1111,0,92,85,132,219,153,172,127
128,ºûµû,531,4,1.3333,389,0.0208,0.3,129,147,145,150,170,151,128
129,òåòå,531,5,1.2658,346,0,0,117,129,166,162,163,160,129
130,Éþ,515,8,1.3213,371,0.8667,0,259,217,271,236,272,156,130
131,µÑ,515,3,1.392,243,0.0385,0,134,124,129,135,125,122,131
132,°×°ÙºÏ,515,4,0.9339,358,0.0233,0.17,147,148,117,197,67,154,132
133,ÓãÎ²,515,6,1.3171,326,0.0263,0.84,176,151,89,165,161,124,133
134,Ë«¸Ü,510,2,2.1304,488,0.0154,0,,,282,330,246,,134
135,Ä¢¹½,510,7,0.8566,326,0,0,158,251,73,36,160,105,135
136,½ð,504,5,1.6299,383,0.0213,0,85,74,124,124,127,120,136
137,Çï×°,499,7,0.6292,279,0.0323,0.32,211,101,109,126,166,96,137
138,³È,493,6,0.7376,377,0,0,326,,118,92,89,117,138
139,±³´ü,493,3,1.3544,352,0.0476,0,179,107,182,169,134,137,139
140,¿Û×Ó,488,6,0.5464,243,0,0.34,123,127,105,125,105,111,140
141,¼ç´ø,482,6,0.6618,265,0,0.41,121,204,115,203,168,158,141
142,ÏðÆ¤½î,482,6,0.6214,300,0.0294,0,126,125,126,142,148,164,142
143,ÔË¶¯¿ã,482,4,1.3668,228,0,1.65,213,174,92,100,171,205,143
144,Ïä×Ó,477,5,1.5079,313,0.0278,0,165,117,185,136,162,125,144
145,tÐôÉÀ,466,2,1.4532,172,0.0588,1.2,,,,259,180,121,145
146,°ü,466,4,1.0053,189,0,0,251,235,230,211,235,100,146
147,Ñò,466,2,2.3367,396,0.0204,0,122,137,158,173,107,130,147
148,·¬ÇÑ,460,4,2.2367,371,0.1111,0.48,110,136,169,107,137,110,148
149,¹·Á¸,443,1,0.2429,90,0,0,,,,,,,149
150,Ç¦,443,1,0.2429,90,0,0,202,150,301,128,159,147,150
151,Å´Ã×,443,2,1.3784,293,0,0.42,,,,264,207,103,151
152,Äñ,419,7,0.8324,306,0.0286,0,156,146,186,157,110,159,152
153,ÍâÌ×,419,3,1.6028,320,0.2432,0.56,59,64,63,87,132,143,153
154,¾«Æ·,402,4,2.5123,272,0,0,171,55,163,190,248,237,154
155,Õë,396,3,1.4586,313,0.0278,0.48,164,194,180,185,192,198,155
156,ÃÛÌÒ,396,4,1.7991,306,0,1.13,98,68,168,110,143,167,156
157,ÖÆÆ·,396,2,3.5116,326,0.0263,1.29,,,,,,141,157
158,³ÄÉÀ,389,5,1.3456,228,0,0.31,83,97,178,94,152,107,158
159,ÒÂ¿ã,377,4,1.1538,181,0,0,,226,170,168,234,185,159
160,²ÝÝ®,377,3,1.0838,236,0.12,0.15,143,139,172,116,124,150,160
161,ÖÛ,365,3,1.1444,272,0,0,138,131,128,143,139,149,161
162,¹âÍ·,365,5,1.0222,236,0,0,175,163,148,220,151,144,162
163,ºÉÒ¶,365,4,1.3415,243,0.0385,0.79,154,177,223,164,98,186,163
164,°óÉþ,358,4,1.0933,293,0.0909,0.55,253,282,208,201,251,181,164
165,Ò¹ÊÐ,358,4,0.6147,220,0,0,149,155,154,152,122,179,165
166,±Ê,358,2,0.3782,138,0.0769,0,153,227,176,177,158,135,166
167,Ë¿Íà,352,3,0.5625,205,0,0,177,143,107,145,154,155,167
168,ÉñÆ÷,339,4,0.9333,189,0.0526,0,125,121,155,171,169,187,168
169,µ°Ì¢,320,1,1.1698,205,0.0952,0.28,300,,311,,322,206,169
170,Äñ¶ù,313,1,0.5938,164,0,0,178,162,156,,,,170
171,¹ê,313,2,4.8972,293,0.0303,0,,,,167,149,190,171
172,ÌÒ,300,4,1.525,138,0,0,201,213,236,300,202,,172
173,½ºÄÒ,300,2,0.3333,100,0,0,,,,195,,,173
174,Àê,300,4,1.525,138,0,0,204,154,238,306,,,174
175,½ð±Ò,293,1,1.4314,155,0,0,162,173,,,194,,175
176,°ÍÊ¿,293,1,3.0581,286,0,0,269,275,,166,275,168,176
177,Ð¡¼¦,286,2,1.2034,265,0,0,,,,114,,332,177
178,Ã±,286,1,1.3482,181,0.0556,0,,,,,,,178
179,Ïß,286,3,0.7386,189,0,0,335,,,253,141,184,179
180,¼¦,279,3,5.0154,129,0.0833,0,261,294,179,296,260,256,180
181,ÓÍÆá,279,2,1.391,138,0,0.26,227,156,212,244,213,191,181
182,Èý½Ç¿ã,272,2,2.3897,181,0.1111,0.23,200,312,255,,204,218,182
183,Î÷¹Ï,272,1,1.7288,100,0,0,,,226,222,254,,183
184,Óñ,272,4,2,197,0,0.18,208,189,233,286,190,196,184
185,Å£ÄÌ,265,4,2.3902,110,0.2,0,,247,161,144,156,200,185
186,²ËÍ·,265,1,1,100,0.1111,0.18,,,,305,,323,186
187,ÂÞ²·,265,3,0.7412,155,0,0.84,151,159,67,153,197,188,187
188,Ñà×Ó,258,2,1.4286,220,0.087,0,302,293,,,288,319,188
189,²¤ÂÜ,258,3,1.2342,147,0,0,167,229,213,266,308,351,189
190,Á´Ìõ,258,2,0.2391,69,0,0,205,232,225,214,329,230,190
191,ÀóÖ¦,258,1,3.1351,205,0,0,71,,269,,,,191
192,¿¨,258,4,0.4423,69,0,0,226,193,108,,346,165,192
193,ÅçÆá,250,3,1.2269,164,0,0,,260,316,277,306,238,193
194,ÏòÈÕ¿û,250,4,2.4082,181,0.0556,0,184,280,246,161,185,169,194
195,Ð¡»Æ¹Ï,250,1,5.1333,250,0.0741,0,,,,,,,195
196,²¼¶¡,250,2,0.475,110,0,0,325,230,195,215,,212,196
197,É³,250,2,1.9462,181,0.0556,0,170,256,247,186,117,,197
198,É¡,250,2,1.1624,181,0.1111,0,199,250,239,284,215,,198
199,ÃÞ¿ã,250,2,0.3269,47,0,0,,,,,,,199
200,·þ×°,250,3,1.3191,181,0,0,157,169,162,131,103,220,200
201,ËÔ°È,250,2,0.3598,110,0,0,186,205,192,232,208,242,201
202,Î÷¿ã,243,4,0.9775,138,0.0769,0.71,150,152,242,332,182,286,202
203,Ñü·â,228,3,0.7442,164,0.125,1.26,192,322,,252,221,,203
204,ÑÌ,228,3,0.8488,119,0.0909,0.68,235,242,190,205,175,162,204
205,±È»ùÄá,228,1,1.0159,138,0,0,239,,235,200,,207,205
206,»ÕÕÂ,220,3,1.1771,138,0,0.31,230,224,196,242,212,194,206
207,ÌÇ¹û,220,2,1.4746,80,0,0.15,,93,173,137,184,174,207
208,ÏîÁ´,220,1,1.3953,80,0,0,,,,,,,208
209,¶¬×°,213,2,1.2222,119,0,0.9,,,,,316,221,209
210,¹Ò¼þ,205,2,0.9625,172,0.0588,0,256,200,250,208,179,219,210
211,Íà,205,1,0.4063,35,0,0,197,202,203,204,203,208,211
212,»­,205,2,0.6604,90,0.5,0.57,236,176,206,243,273,203,212
213,¶¡×Ö¿ã,205,2,2.1558,110,0,0,215,178,200,189,183,226,213
214,ÑÛ¾µ,205,1,0.2222,10,0,0,,,,,,,214
215,ÃÞ»¨,197,2,1.4375,69,0.1667,1.29,282,273,253,,,255,215
216,ÌìË¿ÃÞ,189,2,0.3214,47,0,0,109,105,88,170,111,178,216
217,ÂíÌã,189,1,0.5333,47,0.25,0,,,,,,,217
218,Æ¤½î,181,2,0.4769,100,0,0,161,180,191,180,155,171,218
219,Ö²Îï,181,2,0.7857,90,0,0,,,,,,311,219
220,±´,181,2,0.8409,58,0.2,0,,222,283,175,193,153,220
221,Í²,181,2,0.5577,69,0,0,260,274,248,230,247,223,221
222,À®°È¿Ú,172,2,1.1531,110,0,0,233,208,194,207,178,173,222
223,´óÃ×,172,2,6.6757,155,0,0,,316,,,,350,223
224,É´È¹,172,1,1.254,100,0,0.39,146,187,116,154,147,166,224
225,ÒÂÈ¹,172,1,2.3158,119,0,0,,,,,210,210,225
226,Ã¨ßä,172,2,1.2581,110,0,0.21,254,196,140,181,181,211,226
227,¼¦ÍÈ,172,1,0.3514,80,0,0,,263,224,,198,376,227
228,÷ë,164,1,0.6857,100,0,0,198,171,167,199,188,163,228
229,ÌÒ×Ó,164,1,4.6,119,0,0,,214,232,263,239,251,229
230,Ð¬,164,1,1.2593,10,0,0.5,128,,308,127,200,133,230
231,Á³Æ×,155,2,1.093,119,0.0909,0,288,220,188,288,301,330,231
232,ÄÐ×°,155,2,1.3125,80,0,0,207,,100,216,331,146,232
233,tv,155,2,1.2941,35,0,0,262,,,,,358,233
234,¹ÒÊÎ,155,1,0.6098,90,0,0,243,198,276,326,291,225,234
235,¿ê×Ó,155,1,1.0357,35,0,0,,,,235,214,,235
236,ÁãÊ³,155,1,0.75,47,0,0,,99,,,,,236
237,ÃÜèÖ,155,1,0.5769,47,0,0,,,,,,,237
238,ÔË¶¯·þ,155,1,0.5714,90,0,0.96,,,,,,,238
239,¸à,155,1,0,0,0,0,231,,,,,,239
240,òÇò¾,155,1,0.2381,35,0,0,270,,,311,145,,240
241,Ð¡°×²Ë,147,1,1.04,69,0,0,183,191,220,239,258,267,241
242,ÍøÑÛ,147,2,0.6667,90,0,0,321,186,228,184,249,281,242
243,Ð¡Ä«Óã,147,1,1.4182,80,0,0,252,245,256,260,241,268,243
244,¾Õ»¨,147,2,0.9388,129,0,0,250,209,207,224,218,243,244
245,Âí¼×,147,2,0.9455,100,0,1.26,210,,,,,,245
246,Éª,147,2,0.35,35,0,0,206,175,209,321,,307,246
247,ÃæÄ¤,147,1,0.1111,10,0,0,,,,,146,,247
248,Ð¾,147,2,1.5172,90,0.25,0,276,,211,271,224,249,248
249,Ê±×°,147,2,2.4773,100,0.2222,0,264,289,177,274,45,260,249
250,ÑüÎ§,147,2,0.2143,58,0,0,286,,293,,,204,250
251,·çÁå,147,2,0.4103,69,0,0,341,,227,287,349,329,251
252,µ¶,138,1,1,80,0,0,249,239,314,294,,318,252
253,´¿¾»Ë®,138,1,0,0,0,0,,,,,,,253
254,ó¦Ð·,138,1,1.2857,10,0,0,,,,147,,,254
255,èÖ,138,1,6.5313,129,0,0,240,164,,227,,252,255
256,Îèµ¸,129,2,2.6885,90,0,0,232,,,293,,,256
257,ÎÀÒÂ,129,1,2.1724,35,0,0.79,327,170,,,87,,257
258,Å®Ð¬,129,2,1.1111,69,0,0,266,,,,230,213,258
259,·«²¼°ü,129,1,1.6552,47,0,0.5,,,,,,,259
260,ÆåÅÌ,129,1,2.7191,129,0,0,,,,,,,260
261,´óÍ°,119,1,0.1429,47,0,0,163,,193,,,,261
262,ÌúÈ¦,119,1,1.1707,58,0,0,,,299,248,,337,262
263,¾Ô,119,1,1.0811,80,0.1429,0,306,240,257,262,332,263,263
264,Â¶Æê×°,119,1,1.5238,69,0,0,,,,,,,264
265,É´Íø,119,1,0.7551,69,0,0,193,272,217,234,271,227,265
266,ÄûÃÊ,119,1,5.027,100,0,0,203,172,,254,335,119,266
267,ÕëÖ¯ÉÀ,119,1,0.5385,69,0,0,,,243,,,,267
268,³¤È¹,119,1,1.9111,110,0.2,0.46,214,188,244,206,,300,268
269,µñËÜ,110,1,0.1429,10,0,0,,,,,,,269
270,µÆ,110,1,0.0556,10,0,0,,,251,,,355,270
