ÅÅÃû,ËÑË÷´Ê,ËÑË÷ÈËÆø,Ïà¹ØËÑË÷´ÊÊý,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170619,ÈÕÆÚ£º20170620,ÈÕÆÚ£º20170621,ÈÕÆÚ£º20170622,ÈÕÆÚ£º20170623,ÈÕÆÚ£º20170624,ÈÕÆÚ£º20170625
1,¶Ì¿ã,292136,19019,1.4966,218779,0.0628,3.24,1,1,1,1,1,1,1
2,Å£×Ð¿ã,187135,17383,1.4651,138290,0.046,3.37,2,2,2,2,2,2,2
3,¿ã,101780,7244,1.4558,74837,0.0412,2.59,3,3,3,3,3,3,3
4,±³´ø¿ã,94566,3178,1.3894,68903,0.028,3.09,5,5,4,5,4,4,4
5,¿ã×Ó,81530,4235,1.0899,52569,0.0321,2.43,4,4,5,4,5,5,5
6,±³´ø,60006,1580,1.4242,45532,0.0383,2,6,6,6,6,6,6,6
7,Æß·Ö¿ã,49208,1565,1.1607,35380,0.0653,5.16,9,10,9,9,10,9,7
8,³¬¶Ì¿ã,48813,1237,1.3761,36579,0.072,1.93,7,7,7,7,7,7,8
9,ÈÈ¿ã,42004,1360,1.6228,31872,0.0694,1.45,8,8,8,8,8,8,9
10,³¤¿ã,34252,1593,1.3378,24904,0.049,1.98,11,9,10,10,9,10,10
11,À®°È¿ã,31484,828,1.5322,23428,0.0363,2.02,10,12,11,11,11,11,11
12,Îå·Ö¿ã,25195,713,1.3019,18057,0.053,2.6,13,13,12,13,13,12,12
13,Å®×°,23194,961,1.1165,15344,0.04,1.11,12,11,13,12,12,13,13
14,Å£,15651,490,1.2547,10665,0.0503,1.26,17,17,15,15,16,15,14
15,´ÌÐå,15496,485,1.419,11616,0.044,1.49,16,15,14,16,15,16,15
16,Å®¿ã,15189,623,1.1433,10492,0.0381,2.99,15,14,16,14,14,14,16
17,Âí¿ã,14377,301,0.9072,9582,0.0599,2.62,14,16,20,20,22,17,17
18,ÏÄ×°,13274,485,1.0585,9217,0.0545,2,21,21,19,21,19,18,18
19,Ì××°,12610,404,0.9231,7886,0.0166,1.46,19,18,17,17,17,21,19
20,ÓæÍø,12252,167,1.1767,8728,0.0417,1.17,18,19,18,18,20,20,20
21,Á¬Ìå¿ã,11966,240,1.53,9107,0.028,1.35,20,20,21,19,21,19,21
22,µõ´ø,9910,162,1.244,7171,0.0325,1.06,22,22,23,23,23,23,22
23,À®°È,8196,152,1.7747,6362,0.038,1.63,24,23,25,22,24,24,23
24,¿ãÈ¹,7154,84,1.1768,4957,0.0354,1.27,31,28,27,24,31,22,24
25,×Ð¿ã,6996,139,1.1849,4543,0.044,0.73,28,25,28,25,26,27,25
26,¿ãñÃ,6637,111,0.5964,3820,0.0185,1.09,26,24,26,28,28,31,26
27,È¹¿ã,6304,110,1.2506,4404,0.0717,0.83,25,26,22,26,27,25,27
28,ÐÝÏÐ¿ã,6177,122,1.0696,4009,0.044,1.91,29,30,29,27,25,30,28
29,°ó´ø,5683,114,1.6164,4442,0.0398,0.93,30,27,30,31,29,26,29
30,½ôÉí¿ã,5409,85,1.3043,3778,0.0581,1.44,23,32,24,29,30,29,30
