ÅÅÃû,ËÑË÷´Ê,ËÑË÷ÈËÆø,Ïà¹ØËÑË÷´ÊÊý,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170628,ÈÕÆÚ£º20170629,ÈÕÆÚ£º20170630,ÈÕÆÚ£º20170701,ÈÕÆÚ£º20170702,ÈÕÆÚ£º20170703,ÈÕÆÚ£º20170704
1,¶Ì¿ã,285248,19929,1.4602,210100,0.0661,4.31,1,1,1,1,1,1,1
2,Å£×Ð¿ã,166856,15162,1.4577,122373,0.0462,5.42,2,2,2,2,2,2,2
3,¿ã,94549,6296,1.4722,69146,0.0404,2.65,3,3,3,3,4,3,3
4,±³´ø¿ã,82629,2802,1.3825,59541,0.0295,3.46,4,4,4,4,3,4,4
5,¿ã×Ó,68971,3559,1.2149,47608,0.0332,3.22,5,5,5,5,5,5,5
6,±³´ø,53534,1332,1.4633,40801,0.0396,1.23,6,6,6,6,6,6,6
7,³¬¶Ì¿ã,46101,1128,1.3543,34477,0.0749,2.31,7,7,7,7,7,7,7
8,ÈÈ¿ã,42118,1333,1.5717,31913,0.0753,1.83,8,8,8,9,8,8,8
9,³¤¿ã,31721,1503,1.3814,23052,0.0447,1.92,10,9,9,10,10,9,9
10,Æß·Ö¿ã,30552,1280,1.1353,21472,0.0674,3.18,9,10,11,11,11,10,10
11,À®°È¿ã,29053,757,1.5579,21602,0.0386,1.43,11,11,10,8,9,11,11
12,Îå·Ö¿ã,21109,658,1.2925,15097,0.0572,3.25,12,12,12,12,13,12,12
13,Å®×°,20392,845,1.1779,13025,0.041,1.11,13,13,13,13,12,13,13
14,´ÌÐå,15561,458,1.4079,11379,0.0423,1.56,15,15,14,14,14,14,14
15,Å£,13561,404,1.2224,9269,0.0528,1.35,16,16,16,15,15,15,15
16,Å®¿ã,12396,458,1.1547,8438,0.0478,3.24,14,14,15,16,16,16,16
17,Ì××°,12241,425,0.8581,7368,0.018,1.17,19,20,20,17,19,19,17
18,ÏÄ×°,11553,452,1.0738,7790,0.0678,3.22,20,19,19,19,20,17,18
19,Á¬Ìå¿ã,11511,203,1.5633,8823,0.033,0.94,17,18,18,20,17,20,19
20,ÓæÍø,9579,110,1.1855,6677,0.0413,1.13,21,21,21,21,21,21,20
21,¿ãñÃ,9388,127,0.6235,5495,0.0238,0.56,23,25,26,23,22,25,21
22,Âí¿ã,8946,245,0.891,5711,0.0569,2.73,18,17,17,18,18,18,22
23,À®°È,7756,142,1.7358,6047,0.0326,1.13,26,22,25,24,23,23,23
24,µõ´ø,6986,131,1.2649,4947,0.0444,1.05,25,24,24,22,24,22,24
25,È¹¿ã,6955,113,1.2487,4954,0.0561,1.42,24,27,23,28,25,24,25
26,°ó´ø,6622,122,1.5248,5252,0.039,1.06,28,28,30,27,28,28,26
27,×Ð¿ã,5926,116,1.1752,3696,0.0375,0.94,27,26,27,29,27,27,27
28,·þÊÎ,4896,62,1.9049,3311,0.0862,1.72,41,40,44,38,33,33,28
29,ÐÝÏÐ¿ã,4742,97,1.0349,3079,0.0654,1.7,29,29,29,31,30,31,29
30,¿ãÈ¹,4589,87,1.3342,3233,0.0375,1.16,22,23,22,30,26,26,30
31,»¨°ú,4440,43,1.678,3187,0.0324,0.83,33,35,31,25,31,30,31
32,ËÉ½ô´ø,3959,62,1.2897,2779,0.0474,0.84,35,38,37,33,39,35,32
33,¿íËÉ¿ã,3943,30,1.381,2673,0.0335,0.83,36,32,28,32,34,38,33
34,¿ã½Å,3636,68,1.0844,2333,0.0445,0.84,40,31,35,34,35,37,34
35,½ôÉí¿ã,3634,63,1.1541,2422,0.0435,1.02,39,30,39,26,29,29,35
36,ÁÁÆ¬,3614,59,1.4787,2834,0.0318,1.03,38,36,34,36,32,32,36
37,ÔÂÑÀ,3580,1,5.8386,3316,0.0518,0.12,,,,309,285,321,37
38,Ç¦±Ê,3495,84,1.1732,2345,0.0584,1.07,37,34,33,35,36,39,38
39,Æ®´ø,3342,39,1.1103,2199,0.0452,1.49,48,44,36,43,38,40,39
40,ÓãÍø,3201,41,1.0776,2259,0.0284,0.63,43,42,40,37,37,41,40
41,Íø,3181,66,1.0295,2009,0.0479,0.88,34,39,43,40,41,42,41
42,Ãµ¹å,3101,30,1.2263,2087,0.0452,0.82,42,37,41,39,42,45,42
43,Ä¢¹½,3008,9,0.8647,1807,0.0094,0.43,72,114,117,155,134,138,43
44,ÒÂ,2845,51,2.1294,2064,0.0441,0.35,31,43,42,51,50,36,44
45,À­Á´,2797,54,1.3295,1942,0.0357,0.72,44,41,46,41,45,43,45
46,Ãµ¹å»¨,2746,22,1.3833,2242,0.0236,0.69,52,53,50,50,55,53,46
47,Ã­¶¤,2729,30,1.4222,2139,0.0472,0.5,45,45,48,45,46,47,47
48,Ñü´ø,2684,40,1.2081,1684,0.0313,1.29,46,46,47,48,47,49,48
49,¹ÙÍø,2546,27,0.982,1281,0,0.94,32,48,49,42,49,60,49
50,Á¬ÒÂÈ¹,2381,8,1.1872,1319,0.03,0.9,80,59,84,59,64,85,50
51,¹¤×°,2325,14,1.2747,1579,0.0315,0.36,97,64,56,84,92,94,51
52,¹¤¾ß,2222,17,0.476,1271,0.0079,0,204,,315,65,44,51,52
53,¿ãÍÈ,2151,37,0.776,1264,0.008,0.47,51,54,54,52,59,59,53
54,¿Û,2066,23,1.1354,1288,0.0233,1.11,60,63,70,63,40,48,54
55,ÒÂ·þ,2035,23,1.1821,1233,0.0041,0,55,33,32,47,43,52,55
56,Å£×ÐÈ¹,2014,23,1.398,1385,0.0209,1.16,47,47,51,46,66,61,56
57,²æ,1887,24,0.6,936,0.0062,1.26,66,60,59,61,62,68,57
58,¿ãÍ·,1876,33,0.4608,854,0.0282,1.02,59,57,55,54,69,64,58
59,È¹,1871,24,1.0582,1268,0.0119,0.6,53,55,52,49,53,56,59
60,Ð¡Ïó,1832,17,1.33,1056,0.0311,0.27,67,99,96,92,110,106,60
61,Èâ,1801,29,0.8083,1097,0.0245,0,58,58,53,56,52,63,61
62,²Ê´ø,1753,20,1.0456,1240,0.0451,0.47,71,66,61,57,70,70,62
63,ÉÏÒÂ,1736,16,1.3924,972,0.0175,0.42,74,70,67,98,54,98,63
64,¿Ú´ü,1730,31,1.1335,1261,0.044,0.59,62,62,45,62,51,66,64
65,µÆÁý¿ã,1666,21,1.0022,1108,0.0338,1.31,61,50,60,60,65,57,65
66,Ñ§Éú×°,1585,7,0.8723,920,0.0127,0.72,87,77,66,78,74,84,66
67,Ì×,1558,23,1.6443,1191,0.087,1,56,49,74,74,56,55,67
68,ÕäÖé,1518,17,1.5029,1202,0.0172,0.59,70,72,72,66,75,74,68
69,µÆÁý,1502,19,0.9755,991,0.0341,1.31,68,78,73,73,60,65,69
70,ÃÛÌÇ,1493,2,1.1745,798,0.0775,1.72,102,286,213,80,121,97,70
71,tÐô,1487,21,1.8746,1068,0.0204,0.8,65,76,80,97,71,86,71
72,ÍøÍà,1332,21,0.9938,903,0.0325,0.53,54,68,65,69,80,78,72
73,ÅÌ,1292,14,0.853,798,0.0078,0,57,56,58,53,61,67,73
74,¾«Æ·,1230,9,3.8699,895,0.0855,0,141,105,163,157,48,161,74
75,³¬¶ÌÈ¹,1198,6,1.1829,745,0.0171,0.33,86,65,82,85,105,58,75
76,Æ¤´ø,1198,19,0.9674,637,0.0532,1.46,107,75,68,93,84,89,76
77,´Å,1141,11,0.7276,740,0.0259,0,76,79,79,75,76,91,77
78,È¹×Ó,1138,13,0.7983,588,0.0357,0.22,95,84,94,72,82,99,78
79,Íè,1123,2,3.4106,928,0.0313,0.19,63,169,293,,,,79
80,ÌìË¿ÃÞ,1090,5,1.4322,824,0.0296,0.65,115,155,127,135,128,118,80
81,Ï»×Ó,1075,8,1.7827,789,0.0079,0,89,98,85,90,90,100,81
82,Í²¿ã,1071,12,0.8802,578,0.0244,0.5,116,144,114,81,115,121,82
83,Ìú,1056,10,0.5782,647,0.0313,0.36,90,82,83,89,81,95,83
84,ÐÂÆ·,1053,18,1.1024,745,0.0684,0,75,71,71,77,68,87,84
85,²¼,1022,14,1.1246,562,0.0633,0.69,50,51,57,70,83,88,85
86,½ð,995,9,1.5731,722,0.0446,0,73,107,111,112,73,130,86
87,Ã¨,976,9,2.0039,722,0.0089,0,82,83,76,127,99,81,87
88,Å¦¿Û,956,14,1.005,642,0.0737,1,81,92,88,96,77,77,88
89,ÃÛÌÒ,948,9,1.5009,647,0.0208,1.47,138,94,63,71,114,112,89
90,°Ø,899,12,1.4991,666,0,0,103,95,101,103,94,105,90
91,¶ÌÈ¹,887,7,1.1766,652,0.0619,0.71,83,87,95,117,104,73,91
92,ºÉÒ¶,883,4,1.4002,662,0.0202,0.45,166,199,225,154,169,156,92
93,·þ×°,875,4,1.9611,443,0,0.69,225,185,181,207,,189,93
94,¿Û×Ó,845,14,0.8922,562,0,0.46,105,124,124,106,72,90,94
95,¾í,837,8,0.9901,515,0,0.14,98,106,89,126,106,113,95
96,µÑ,833,5,0.2457,243,0,0,142,121,137,102,108,110,96
97,Ë¿´ø,833,12,0.6628,520,0.0282,1.04,113,109,98,134,116,133,97
98,°ëÉíÈ¹,824,9,1.3617,633,0.086,0.51,114,67,86,55,109,62,98
99,Å£ÄÌ,811,6,1.539,326,0.0263,0,183,175,259,,324,140,99
100,ÂÖ,811,6,1.1083,526,0.0833,0,85,90,87,95,91,101,100
101,ÂÜ²·,794,5,1.4115,520,0.0141,0.94,84,86,90,104,89,107,101
102,Çï×°,781,9,0.914,504,0,0.24,94,85,81,86,87,80,102
103,ÉñÆ÷,776,5,0.2465,220,0,0,208,97,193,115,79,79,103
104,³ÄÉÀ,749,10,1.2427,389,0.0417,1.25,96,327,104,159,107,92,104
105,ÍâÌ×,740,9,1.978,482,0.0313,0.3,49,132,92,64,88,144,105
106,Å£×Ð²¼,731,10,1.0905,414,0.0385,0,111,103,119,110,93,127,106
