ÅÅÃû,ËÑË÷´Ê,ËÑË÷ÈËÆø,Ïà¹ØËÑË÷´ÊÊý,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20161206,ÈÕÆÚ£º20161207,ÈÕÆÚ£º20161208,ÈÕÆÚ£º20161209,ÈÕÆÚ£º20161210,ÈÕÆÚ£º20161211,ÈÕÆÚ£º20161212
1,Å£×Ð¿ã,263359,26375,0.9748,200318,0.1095,6.6,1,1,1,1,1,1,1
2,¿ã,92030,4982,0.9607,68172,0.0835,2.86,2,2,2,2,3,3,2
3,¿ã×Ó,82796,5034,0.7725,57559,0.0693,2.28,4,3,4,3,2,2,3
4,³¤¿ã,73349,4026,0.8734,53930,0.1052,2.54,3,4,3,4,4,4,4
5,±³´ø¿ã,53974,1275,0.9154,36950,0.0451,1.48,5,5,5,5,5,5,5
6,À®°È¿ã,47631,1325,1.0184,36161,0.0725,2.93,6,6,6,6,6,6,6
7,Å®¿ã,32162,1322,0.8246,23159,0.1167,2.52,8,8,8,8,8,8,7
8,¶Ì¿ã,30716,989,0.9511,22396,0.0745,2.44,7,7,7,7,7,7,8
9,Å®×°,21460,828,0.7783,14171,0.0883,2.65,9,9,9,9,9,9,9
10,Å£,17891,497,0.6855,11674,0.0808,2.11,10,10,10,10,10,10,10
11,½ôÉí¿ã,13754,211,0.8091,9957,0.0899,2.76,14,11,11,12,11,11,11
12,Ç¦±Ê,13596,524,0.8302,10022,0.1337,1.66,11,13,14,14,14,12,12
13,À®°È,12555,232,1.0861,9806,0.0842,2.15,12,12,12,11,12,13,13
14,¿ã½Å,10319,299,0.7702,7172,0.0594,1.08,16,17,16,17,16,15,14
15,±³´ø,10175,192,0.9687,7584,0.0613,1.06,13,14,15,13,13,14,15
16,×Ð¿ã,9718,214,0.8718,6697,0.0946,1.54,19,19,18,16,17,17,16
17,³¬¶Ì¿ã,9597,124,0.846,6419,0.0469,0.84,20,15,13,15,15,16,17
18,´ÌÐå,8760,223,0.8546,6062,0.07,1.09,18,20,19,18,18,18,18
19,ÈÈ¿ã,7957,100,0.9438,5230,0.0723,1.14,17,18,17,19,20,19,19
20,ÔÂÑÀ,6288,4,2.6916,5314,0.166,0,69,63,25,68,46,23,20
21,ÐÝÏÐ¿ã,6240,122,0.7705,3988,0.0582,0.95,23,24,24,21,23,20,21
22,Æß·Ö¿ã,6173,113,0.6706,3749,0.029,1.08,21,22,22,20,19,21,22
23,¶¬×°,6091,125,0.7521,4161,0.1069,1.33,22,23,21,23,22,22,23
24,Çï×°,5111,116,0.6792,3225,0.1071,1.35,26,21,32,30,27,30,24
25,·þÊÎ,4953,81,0.9232,3586,0.189,1.59,33,29,33,31,33,27,25
26,Ä¥Ã«,4655,59,0.9585,3451,0.073,0.89,29,26,26,24,26,26,26
27,µõ´ø,4467,59,0.8295,3012,0.0429,0.7,27,28,27,25,24,24,27
28,½´,4247,5,3.3421,3692,0.0586,0,140,,,241,76,65,28
29,Á¬Ìå¿ã,4096,51,0.8429,2864,0.0406,0.57,24,25,23,22,28,25,29
30,¹ê,4030,4,3.3836,3495,0.0562,0,,238,,283,75,,30
31,ÃÞ¿ã,3734,39,0.7923,2562,0.1212,1.13,28,27,28,26,29,28,31
32,ËÉ½ô´ø,3283,45,0.8474,2381,0.1109,1.44,31,30,34,32,30,29,32
33,¹ÙÍø,2819,34,0.5962,1226,0.0083,0.79,25,52,85,55,51,32,33
34,ÃÛÌÇ,2775,6,0.6571,1627,0.189,1.67,72,50,70,45,49,57,34
35,¿ãÍÈ,2684,49,0.4235,1407,0.0102,0.5,37,37,44,38,31,34,35
36,ÒÂ,2621,40,1.052,1645,0.1563,1.5,47,33,37,35,37,43,36
37,µ¥¿ã,2559,27,0.4736,1446,0.0915,0.67,38,32,42,42,43,33,37
38,¾í,2509,27,0.6839,1594,0.0395,0.34,39,35,43,40,38,40,38
39,À­Á´,2369,28,0.7218,1600,0.0449,0.53,50,55,40,52,52,42,39
40,ÁÁÆ¬,2311,31,1.0033,1695,0.0515,0.37,43,31,35,36,44,47,40
41,ÐÂÆ·,2249,48,1.0271,1603,0.1401,1.73,30,48,59,62,61,45,41
42,¾«Æ·,2061,9,1.815,1686,0.0649,0.6,135,64,174,123,120,153,42
43,ÒÂ·þ,2006,24,0.4619,854,0.007,0,40,40,39,50,39,36,43
44,Ñ¥¿ã,1961,23,0.6975,1288,0.0465,1.28,41,34,36,39,47,37,44
45,ÂÜ²·,1942,20,0.8226,1302,0.0573,0.87,44,39,41,41,41,46,45
46,Ì××°,1936,34,0.4481,936,0.0062,0.38,36,38,38,37,40,41,46
47,Ã¨,1871,17,2.1404,1423,0.1505,1.93,51,51,60,47,62,53,47
48,²¼,1852,24,0.6966,1219,0.1261,0.23,73,54,47,65,68,66,48
49,ÑÌ»Ò,1787,23,1.1281,1358,0.129,0.7,67,44,65,57,54,52,49
50,¿íËÉ¿ã,1727,22,1.02,1205,0.0726,0.97,46,47,29,46,32,35,50
51,tÐô,1627,5,0.8464,1198,0.0259,0.22,283,169,105,295,275,166,51
52,»Æ½ð,1621,17,0.8377,1205,0.2094,1.16,57,45,54,51,65,55,52
53,±Ê,1597,16,0.7968,1026,0.0919,0,55,74,48,59,48,44,53
54,Ñò,1558,5,1.0448,1209,0.0383,0.26,125,127,51,130,154,137,54
55,ÍâÌ×,1537,24,1.1482,956,0.0778,0.5,61,61,46,33,69,50,55
56,µÍÑü¿ã,1515,8,0.613,798,0.0233,0.85,49,83,110,56,100,92,56
57,°Ø,1484,16,1.1099,1209,0.1106,0.58,58,53,71,58,71,59,57
58,ºì°ü,1452,2,0.0675,258,0,0,15,16,20,220,21,75,58
59,¿Û,1439,27,1.0782,1056,0.0518,1.73,76,80,81,73,77,73,59
60,°ó´ø,1417,17,0.9542,948,0.103,0.5,62,68,50,88,57,60,60
61,ÒÂ³÷,1385,8,1.8574,1138,0.014,0,142,100,210,85,173,86,61
62,µÆÁý¿ã,1381,15,0.6505,763,0.0413,0.61,54,43,68,27,53,61,62
63,Ë®õõ,1381,15,0.9627,1086,0.0945,0.98,65,78,73,79,70,63,63
64,½ð,1240,12,0.6769,593,0.0118,0,52,58,64,78,56,83,64
65,ÏÄ×°,1219,13,0.8116,749,0.0424,0.31,42,66,67,70,64,64,65
66,Ïß,1188,10,0.453,681,0.0485,0,77,60,78,48,74,69,66
67,Ïð½î,1174,12,0.7498,802,0.1538,0,53,85,80,74,63,72,67
68,Ã«ÒÂ,1170,9,0.8881,676,0.0588,0.55,34,72,63,53,50,48,68
69,Äñ,1152,10,1.0009,908,0.2516,0,59,59,69,60,72,68,69
70,°Ù»õ,1123,1,2.9825,948,0.0485,0,,,282,,,,70
71,»¨°ú,1094,7,0.614,637,0.117,0,80,69,79,69,45,67,71
72,Íø,1053,13,0.3383,482,0.0156,0,66,62,61,49,42,54,72
73,ÃÛÌÒ,1018,13,0.7194,685,0.1346,1.18,32,36,31,29,35,38,73
74,Ã×,999,16,0.9392,662,0.1616,0.48,71,90,122,109,86,99,74
75,¹¤×°,999,8,0.7928,657,0.0102,0.57,110,49,62,75,60,79,75
76,Ã«ÄØ,979,9,0.7117,526,0.0833,0,96,106,112,118,88,87,76
77,Öé,964,7,0.5658,647,0,0,60,42,49,34,34,31,77
