ÅÅÃû,ËÑË÷´Ê,ËÑË÷ÈËÆø,Ïà¹ØËÑË÷´ÊÊý,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170623,ÈÕÆÚ£º20170624,ÈÕÆÚ£º20170625,ÈÕÆÚ£º20170626,ÈÕÆÚ£º20170627,ÈÕÆÚ£º20170628,ÈÕÆÚ£º20170629
1,¶Ì¿ã,272311,18653,1.4814,202042,0.0645,3.18,1,1,1,1,1,1,1
2,Å£×Ð¿ã,180731,15344,1.4446,130126,0.0494,4.28,2,2,2,2,2,2,2
3,¿ã,91869,6521,1.4595,67374,0.0421,3.26,3,3,3,3,3,3,3
4,±³´ø¿ã,75775,3034,1.2433,50674,0.0301,2.53,4,4,4,5,4,4,4
5,¿ã×Ó,59890,3735,1.1847,41122,0.0349,2.36,5,5,5,4,5,5,5
6,±³´ø,54907,1467,1.4415,41601,0.0389,2.53,6,6,6,6,6,6,6
7,³¬¶Ì¿ã,44691,1095,1.3761,33366,0.0703,1.59,7,7,8,7,7,7,7
8,ÈÈ¿ã,39574,1288,1.5982,29960,0.0737,2.63,8,8,9,8,8,8,8
9,³¤¿ã,33988,1516,1.3568,24709,0.0461,2.24,9,10,10,10,10,10,9
10,Æß·Ö¿ã,31947,1323,1.1285,22601,0.0624,3.34,10,9,7,9,9,9,10
11,À®°È¿ã,27329,775,1.5829,20591,0.0419,1.57,11,11,11,11,11,11,11
12,Îå·Ö¿ã,22123,666,1.3042,15861,0.0571,2.12,13,12,12,12,12,12,12
13,Å®×°,20298,859,1.1422,13381,0.0459,1.49,12,13,13,13,13,13,13
14,Å®¿ã,18241,490,0.6612,8483,0.0395,2.36,14,14,16,16,16,14,14
15,´ÌÐå,15256,450,1.4088,11177,0.0501,1.41,15,16,15,14,14,15,15
16,Å£,14236,437,1.2062,9733,0.0439,1.26,16,15,14,15,15,16,16
17,Âí¿ã,12962,245,0.8854,8423,0.0574,2.28,22,17,17,18,21,18,17
18,Á¬Ìå¿ã,12052,215,1.5444,9230,0.0337,1.16,21,19,21,19,17,17,18
19,ÏÄ×°,11121,450,1.0948,7875,0.061,1.91,19,18,18,20,20,20,19
20,Ì××°,10595,364,0.8759,6415,0.0212,1.57,17,21,19,17,18,19,20
21,ÓæÍø,9986,137,1.1698,7039,0.0492,1.49,20,20,20,21,19,21,21
22,À®°È,7829,151,1.745,6033,0.046,1.11,24,24,23,24,24,26,22
23,¿ãÈ¹,7525,98,1.115,4843,0.0495,1.06,31,22,24,28,30,22,23
24,µõ´ø,6932,138,1.2468,5134,0.0447,1.45,23,23,22,22,22,25,24
25,¿ãñÃ,6768,125,0.625,3973,0.0223,0.6,28,31,26,23,23,23,25
26,×Ð¿ã,5968,117,1.1488,3774,0.0453,0.93,26,27,25,26,26,27,26
27,È¹¿ã,5965,99,1.2444,4185,0.061,1.42,27,25,27,25,25,24,27
28,°ó´ø,5769,118,1.7139,4514,0.0468,1.05,29,26,29,27,27,28,28
29,ÐÝÏÐ¿ã,5463,113,1.1116,3714,0.0503,2.25,25,30,28,29,28,29,29
30,½ôÉí¿ã,5418,82,1.3222,3749,0.0641,1.68,30,29,30,33,34,39,30
31,¿ã½Å,4569,75,1.1215,3223,0.0174,0.78,35,32,33,34,36,40,31
32,¿íËÉ¿ã,4526,30,1.4338,2956,0.0254,1.18,18,28,32,30,44,36,32
33,ÒÂ·þ,4154,41,0.9856,2928,0.0168,0.52,58,54,50,49,51,55,33
34,Ç¦±Ê,3965,92,1.1059,2875,0.0507,1.83,34,34,31,32,31,37,34
35,»¨°ú,3963,43,1.703,2836,0.0612,0.84,38,38,36,37,33,33,35
36,ÁÁÆ¬,3675,67,1.3986,2875,0.0311,1.01,32,37,35,36,35,38,36
37,Ãµ¹å,3614,28,1.2122,2386,0.0276,0.75,36,41,39,38,37,42,37
38,ËÉ½ô´ø,3525,52,1.143,2455,0.0779,1.01,40,42,37,41,32,35,38
39,Íø,3303,64,0.8999,2172,0.0213,0.91,39,39,34,39,40,34,39
40,·þÊÎ,3101,55,2.9649,2485,0.0519,0.59,33,44,42,44,38,41,40
41,À­Á´,3091,53,1.2798,2133,0.0656,0.75,43,46,40,40,42,44,41
42,ÓãÍø,3031,40,1.1738,2110,0.0315,0.53,37,36,38,43,39,43,42
43,ÒÂ,3008,48,2.7642,2249,0.0773,0.63,49,43,52,35,41,31,43
44,Æ®´ø,2918,35,1.0627,1944,0.0419,0.86,46,45,44,47,45,48,44
45,Ã­¶¤,2873,37,1.7265,2237,0.0322,0.68,48,48,48,45,46,45,45
46,Ñü´ø,2782,48,1.1451,1849,0.0407,0.78,44,47,43,42,43,46,46
47,Å£×ÐÈ¹,2605,30,1.2798,1759,0.0341,0.97,47,53,45,50,47,47,47
48,¹ÙÍø,2587,29,1.0469,1471,0.0127,1.2,59,40,47,31,50,32,48
49,Ì×,2550,24,1.2298,1815,0.0558,0.98,81,80,57,74,49,56,49
50,µÆÁý¿ã,2443,31,0.8933,1588,0.0313,1.37,55,56,58,56,55,61,50
51,²¼,2403,32,0.9203,1420,0.0302,0.82,73,71,67,70,54,50,51
52,¹¤×°¿ã,2381,9,1.5101,1567,0.0232,0.49,89,108,80,129,137,106,52
53,Ãµ¹å»¨,2342,24,1.2135,1657,0.0347,0.56,50,49,51,53,48,52,53
54,¿ãÍÈ,2136,37,0.6583,1319,0.0075,0.75,51,52,54,51,53,51,54
55,È¹,2059,27,1.1276,1352,0.0108,0.88,57,55,46,48,56,53,55
56,ÅÌ,2051,19,0.8261,1219,0.0126,0,72,59,56,58,71,57,56
57,¿ãÍ·,1985,34,0.6059,1011,0.0276,0.43,65,69,63,62,58,59,57
58,Èâ,1909,27,0.8891,1130,0.0282,0.6,67,67,61,60,59,58,58
59,Á¬ÒÂÈ¹,1863,22,1.8525,1530,0.021,0.59,61,62,73,59,63,80,59
60,²æ,1857,24,0.5669,920,0.0063,0.97,69,78,82,67,61,66,60
61,É´,1787,11,0.8872,1018,0.0219,0.38,154,148,68,153,65,165,61
62,¿Ú´ü,1733,33,1.1509,1275,0.0315,0.32,45,65,62,64,60,62,62
63,¿Û,1724,22,1.626,1026,0.0486,0.58,79,76,65,68,70,60,63
64,¹¤×°,1724,14,1.7947,1398,0.0137,0.47,102,64,85,79,89,97,64
65,³¬¶ÌÈ¹,1639,15,1.2401,1056,0.0415,0.37,82,66,121,57,67,86,65
66,²Ê´ø,1594,17,0.9776,995,0.0226,0.48,68,70,59,66,68,71,66
67,°ëÉíÈ¹,1591,14,1.3707,1090,0.0396,0.88,92,68,55,89,52,114,67
68,ÍøÍà,1411,24,1.0196,979,0.0116,0.46,52,51,53,52,73,54,68
69,±¬Ã×»¨,1348,2,3.5716,1295,0,0,86,82,,100,,88,69
70,ÉÏÒÂ,1348,16,1.2048,772,0.0407,0.48,70,35,49,78,64,74,70
71,ÐÂÆ·,1345,23,1.2,991,0.0966,0,66,77,81,77,74,75,71
72,ÕäÖé,1329,14,1.2821,964,0.0118,0.62,75,79,79,76,75,70,72
73,¾í×Ó,1268,1,6.3959,1191,0.1087,0,259,,,255,,,73
74,·¬ÇÑ,1247,4,2.5914,887,0.0667,0.57,128,139,114,135,104,129,74
75,Æ¤´ø,1198,13,1.2414,968,0.0118,1.68,95,86,78,88,109,107,75
76,tÐô,1174,15,1.8972,987,0.2171,1.08,64,74,64,69,78,65,76
77,Ñ§Éú×°,1123,11,1.1711,883,0,0.81,104,98,41,98,79,87,77
78,µÆÁý,1112,15,0.9069,690,0.019,1.37,78,57,90,54,82,68,78
79,´Å,1112,11,0.7185,754,0.0252,0,87,81,76,81,88,76,79
80,Ã×,1105,10,2.6905,802,0,0,121,114,74,111,116,99,80
81,´óÂó,1049,1,3.5269,858,0.035,0,,,,75,195,,81
82,Ìú,1011,8,0.7298,652,0.0619,0,96,100,89,87,86,90,82
83,Ã¨,1011,8,2.7122,647,0.0208,0.08,77,84,69,80,80,82,83
84,È¹×Ó,916,12,1.014,499,0.0299,0.31,71,58,86,95,57,95,84
85,Çï×°,908,13,0.8099,482,0,1.19,122,73,118,90,91,94,85
86,ÂÜ²·,908,7,1.5169,608,0.0227,0.56,90,89,71,96,85,84,86
87,¶ÌÈ¹,903,14,1.3822,552,0.0909,0.97,119,83,92,121,101,83,87
88,Áð,887,2,2.3396,772,0.0081,0,,,,,,,88
89,ÍÃ,858,2,3.6439,731,0.0351,0.08,293,226,203,191,161,190,89
90,ÂÖ,858,6,0.8206,443,0.0877,0,85,88,95,94,92,85,90
91,µÍÑü¿ã,828,6,0.9806,449,0.0517,0.73,101,120,124,125,97,77,91
92,Å¦¿Û,828,14,1.4463,568,0.0625,1.1,91,97,96,85,83,81,92
93,Öé,824,3,0.9208,608,0,0.14,165,,153,119,98,109,93
94,ÃÛÌÒ,798,7,1.3716,542,0.0133,1.32,76,63,152,73,66,138,94
95,°Ø,798,11,1.4982,618,0.0667,0,94,92,99,92,90,103,95
96,ÒÂ³÷,794,4,5.2667,708,0.0275,0,97,93,93,72,69,91,96
97,ÉñÆ÷,776,4,1.3873,460,0.0333,1.29,181,178,142,171,210,208,97
98,Ï»×Ó,763,6,1.6049,568,0.0125,0,93,91,101,91,84,89,98
