ÅÅÃû,ËÑË÷´Ê,ËÑË÷ÈËÆø,Ïà¹ØËÑË÷´ÊÊý,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170615,ÈÕÆÚ£º20170616,ÈÕÆÚ£º20170617,ÈÕÆÚ£º20170618,ÈÕÆÚ£º20170619,ÈÕÆÚ£º20170620,ÈÕÆÚ£º20170621
1,¶Ì¿ã,279399,17984,1.4884,207644,0.0644,4.04,1,1,1,1,1,1,1
2,Å£×Ð¿ã,174738,16137,1.457,128522,0.0475,4.06,2,2,2,2,2,2,2
3,¿ã,98511,6602,1.4477,71645,0.0404,3.81,3,3,3,3,3,3,3
4,±³´ø¿ã,62503,2702,1.3179,45392,0.0292,1.62,5,5,4,4,5,5,4
5,¿ã×Ó,62141,3627,1.1775,42758,0.0399,2.03,4,4,5,5,4,4,5
6,±³´ø,57590,1440,1.4278,43204,0.038,1.43,6,6,6,6,6,6,6
7,³¬¶Ì¿ã,46783,1066,1.393,34770,0.0789,1.93,7,7,7,7,7,7,7
8,ÈÈ¿ã,40986,1318,1.6121,30598,0.074,2.15,8,8,8,8,8,8,8
9,Æß·Ö¿ã,35593,1503,1.169,25438,0.0631,2.39,9,9,10,11,9,10,9
10,³¤¿ã,33601,1455,1.3569,24660,0.0506,2.17,10,10,9,10,11,9,10
11,À®°È¿ã,32541,778,1.5424,24452,0.0396,1.51,11,11,11,9,10,12,11
12,Îå·Ö¿ã,25073,696,1.2806,18012,0.0505,2.32,13,13,13,13,13,13,12
13,Å®×°,22103,945,1.1642,14620,0.0349,1.57,12,12,12,12,12,11,13
14,´ÌÐå,15629,463,1.3817,11486,0.0451,1.4,14,15,15,15,16,15,14
15,Å£,15137,484,1.2291,10225,0.0464,1.22,17,17,16,16,17,17,15
16,Å®¿ã,14569,618,1.1326,9826,0.0388,2.14,15,14,14,14,15,14,16
17,Ì××°,14083,422,0.8693,8449,0.0182,2.36,21,21,20,19,19,18,17
18,ÓæÍø,12115,157,1.2116,8498,0.0475,1.47,20,18,18,20,18,19,18
19,ÏÄ×°,11778,435,1.1516,8344,0.0579,1.31,18,20,21,18,21,21,19
20,Âí¿ã,11478,316,0.8699,7547,0.048,2.41,16,16,17,17,14,16,20
21,Á¬Ìå¿ã,11332,204,1.5078,8472,0.0273,0.95,19,19,19,21,20,20,21
22,È¹¿ã,10611,128,1.1343,6827,0.0354,1.41,28,29,29,29,25,26,22
23,µõ´ø,8697,138,1.3086,6195,0.0331,1.17,24,23,23,22,22,22,23
24,½ôÉí¿ã,7863,82,1.1724,5343,0.0585,1.14,23,25,27,24,23,32,24
25,À®°È,7709,151,1.7151,6045,0.0459,1.2,22,22,24,23,24,23,25
26,¿ãñÃ,7632,121,0.6013,4450,0.021,0.61,27,24,25,30,26,24,26
27,¿ãÈ¹,7241,89,1.0772,4547,0.0423,1.12,25,27,33,27,31,28,27
28,×Ð¿ã,6314,119,1.2029,4014,0.0487,1.04,26,26,28,26,28,25,28
29,ÐÝÏÐ¿ã,5672,103,1.1808,3874,0.0486,1.78,32,28,31,31,29,30,29
30,°ó´ø,5522,119,1.637,4289,0.0321,1.05,29,30,32,25,30,27,30
31,¿íËÉ¿ã,5399,30,1.2753,3540,0.0359,1.32,34,31,22,33,27,29,31
32,·þÊÎ,4687,72,1.9669,3508,0.0508,1.6,42,41,26,32,34,31,32
33,ÁÁÆ¬,4563,72,1.4467,3489,0.0273,0.73,36,34,36,36,35,36,33
34,Íø,4504,82,1.0161,2795,0.0313,0.78,33,37,39,37,38,38,34
35,¿ã½Å,4307,82,1.2083,2729,0.025,0.6,30,32,34,35,32,33,35
36,Ç¦±Ê,4209,109,1.1514,2814,0.0513,1.02,31,33,35,34,36,34,36
37,ÒÂ,3998,48,1.5428,2424,0.0435,0.63,39,38,46,41,44,40,37
38,ËÉ½ô´ø,3753,57,1.2786,2632,0.0528,0.73,40,45,43,38,43,43,38
39,Ãµ¹å,3631,37,1.2399,2511,0.0398,0.78,37,42,42,40,37,42,39
40,ÓãÍø,3522,46,0.995,2328,0.0367,0.54,38,40,37,39,40,39,40
41,»¨°ú,3418,38,1.8044,2469,0.051,0.9,43,35,41,28,41,41,41
42,À­Á´,3257,64,1.3748,2325,0.0591,0.88,45,43,47,42,46,48,42
43,Ñü´ø,3029,44,1.2677,2156,0.0179,0.79,47,49,49,43,42,44,43
44,Å£×ÐÈ¹,2954,37,1.3046,1979,0.0306,0.73,52,53,51,44,55,55,44
45,Ã­¶¤,2915,37,1.6098,2212,0.0397,0.57,46,50,50,46,47,47,45
46,Æ®´ø,2675,32,1.0893,1764,0.0364,1.53,48,44,44,45,45,45,46
47,Ì×,2532,39,0.8725,1518,0.0213,0.55,69,54,55,65,73,52,47
48,¿Ú´ü,2511,34,1.0154,1471,0.0414,1.03,55,61,72,52,64,70,48
49,¹ÙÍø,2422,28,0.8362,1257,0.004,0.51,35,60,52,50,39,37,49
50,Ãµ¹å»¨,2323,27,1.0981,1530,0.039,0.67,49,51,53,47,51,50,50
51,²¼,2204,33,1.3015,1427,0.0267,1.44,71,80,68,73,62,75,51
52,È¹,2177,27,1,1381,0.021,0.73,70,52,54,51,33,59,52
53,Èâ,2159,36,0.799,1308,0.0644,0,53,55,58,68,65,53,53
54,¿ãÍÈ,2087,27,0.9223,1247,0.0163,0.74,58,64,66,49,57,51,54
55,µÆÁý,1979,14,0.9774,1365,0.0356,1.37,83,76,84,80,60,82,55
56,µÆÁý¿ã,1974,19,0.9612,1335,0.0294,1.37,51,58,73,54,63,54,56
57,ÅÌ,1961,13,0.7545,1170,0.0089,0,60,68,63,58,61,63,57
58,Á¬ÒÂÈ¹,1953,20,1.6718,1391,0.0242,1.38,62,56,38,53,53,58,58
59,¿ãÍ·,1857,34,0.4854,908,0.0387,0,41,62,74,67,69,61,59
60,²æ,1832,23,0.7595,1014,0.0165,0.67,59,59,62,60,67,64,60
61,Ñ§Éú×°,1815,15,1.1258,1156,0.0318,0.28,134,74,65,140,82,102,61
62,ÒÂ·þ,1770,24,0.8717,960,0,0.8,77,47,60,69,71,74,62
63,¶¹,1764,4,1.6264,1244,0.0163,0.6,61,67,174,183,48,68,63
64,Ã¨,1744,14,3.2031,1342,0.0073,0.39,72,84,92,92,77,76,64
65,ÍøÍà,1739,24,1.127,1170,0.0313,0.4,44,48,61,64,49,49,65
66,ÃÛÌÒ,1689,8,2.1946,1292,0.0193,1.33,168,110,143,167,156,117,66
67,É´,1686,10,0.8971,1022,0.0163,0.28,68,140,69,142,109,35,67
68,²Ê´ø,1561,15,0.9333,1026,0.0108,0.38,65,65,70,62,70,77,68
69,ÐÂÆ·,1537,24,1.2118,1112,0.0577,1.02,64,66,75,57,56,62,69
70,ÕäÖé,1433,16,1.3628,1105,0.0097,0.56,75,75,77,76,78,72,70
71,È¹×Ó,1404,16,1.1306,891,0.0265,0.78,119,72,57,109,76,113,71
72,Å£×ÐÒÂ,1335,4,1.6166,999,0.0056,0.54,66,108,80,77,74,80,72
73,ÃÛ,1285,11,1.5151,671,0.0495,0,122,104,100,83,98,112,73
74,Ð¡Ïó,1261,16,2.3025,924,0.0629,0.45,56,98,108,59,83,111,74
75,¿Û,1240,18,1.3017,820,0.0299,4.04,81,70,94,79,90,69,75
76,tÐô,1230,18,1.4874,845,0.0643,1.17,50,69,59,55,75,57,76
77,¹¤×°,1212,14,1.6126,891,0.0397,1.53,74,39,78,70,86,91,77
78,°ëÉíÈ¹,1205,14,1.3694,932,0.0497,0.67,54,73,79,72,58,109,78
79,Íè,1188,2,5.6376,1068,0.0357,0,78,,229,270,293,85,79
80,Ìú,1159,8,0.4763,647,0.0208,0,90,83,96,84,81,83,80
81,ÃÛÌÇ,1148,4,1.0973,588,0.0238,1.6,218,188,56,48,54,60,81
82,ÅÝ²Ë,1145,1,2.6102,940,0,0.29,199,121,297,201,,,82
83,³¬¶ÌÈ¹,1094,6,1.0073,695,0.0377,0,76,139,71,132,93,71,83
84,¶ÌÈ¹,999,10,1.1043,666,0.05,0.67,57,86,112,71,50,123,84
85,´Å,987,11,0.6475,608,0.0227,0.96,91,90,93,74,91,92,85
86,Ï»×Ó,983,7,2.0033,837,0.0145,0,79,88,99,102,94,107,86
